Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
kosongan,@pinisirinn,2025-07-31T15:22:47.000Z,False,Jeng jeng,0,0,0,53,[],[],[],https://pbs.twimg.com/profile_images/1921239569275514880/m8_pa2gY_normal.jpg,https://x.com/pinisirinn/status/1950940208200921120,tweet_id:1950940208200921120
gentho,@banghamst,2025-07-31T15:20:06.000Z,False,kamu harus tunduk tom,0,0,0,76,[],[],[],https://pbs.twimg.com/profile_images/1803425027645374464/SUlar-nR_normal.png,https://x.com/banghamst/status/1950939535459987882,tweet_id:1950939535459987882
Malkae,@SinggihSuryaW,2025-07-31T15:04:38.000Z,False,LU SEMUA BODOH GUYS DIMANA MEREKA WKWKWKWK,0,0,0,296,[],[],[],https://pbs.twimg.com/profile_images/1556201391324286976/zmazvjf0_normal.jpg,https://x.com/SinggihSuryaW/status/1950935644576071700,tweet_id:1950935644576071700
ayuuuuu,@ayuuriza,2025-07-31T15:21:44.000Z,False,GILSSSS,0,0,0,125,[],[],[],https://pbs.twimg.com/profile_images/1941003496951894018/kkeLRXrU_normal.jpg,https://x.com/ayuuriza/status/1950939947969790362,tweet_id:1950939947969790362
Ansel,@Anseeeellll,2025-07-31T15:31:19.000Z,False,Permintaan geng solo beberapa waktu lalu ya? Udah ketebak ,0,0,0,77,[],[],"['\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1892133714790109184/0S8W_ELE_normal.jpg,https://x.com/Anseeeellll/status/1950942359514202559,tweet_id:1950942359514202559
Ed mena&77,@Edmena77,2025-07-31T15:15:13.000Z,False,Gitu mulu,0,0,0,56,[],[],[],https://pbs.twimg.com/profile_images/1909620742511378434/K6IZuZiE_normal.jpg,https://x.com/Edmena77/status/1950938306193264640,tweet_id:1950938306193264640
Cahaya,@Forever47177974,2025-07-31T14:47:30.000Z,False,"Wow.. 

Tapi kenapa beda ya Tom Abolisi  hasto Amnesti...?",0,0,0,349,[],[],[],https://pbs.twimg.com/profile_images/1692182442340466688/Fvzto6Ru_normal.jpg,https://x.com/Forever47177974/status/1950931332567027743,tweet_id:1950931332567027743
goddessmeg,@dewi_megan,2025-07-31T15:05:23.000Z,False,,0,0,0,104,[],[],[],https://pbs.twimg.com/profile_images/1846366077468733440/2AQmfUaQ_normal.jpg,https://x.com/dewi_megan/status/1950935829435834458,tweet_id:1950935829435834458
Haniya,@haniyesss,2025-07-31T15:20:11.000Z,False,"pertanyaanku, bapak ini mau jadi pahlawan atau memang sudah resmi pisah jalan dengan mulyono?",0,0,0,277,[],[],[],https://pbs.twimg.com/profile_images/1511370081678536705/DXc2z41H_normal.jpg,https://x.com/haniyesss/status/1950939556485685604,tweet_id:1950939556485685604
indomieseleraku,@wannabehappyboy,2025-07-31T15:04:24.000Z,False,wtf is going on,0,0,0,89,[],[],[],https://pbs.twimg.com/profile_images/1482127635568562177/_a-o0ntC_normal.jpg,https://x.com/wannabehappyboy/status/1950935584811213221,tweet_id:1950935584811213221
Mirz,@bagindamaulanaa,2025-07-31T15:02:44.000Z,False,Mulyono is shaking his ass as we speak,0,0,0,113,[],[],[],https://pbs.twimg.com/profile_images/1941373782943465475/_MAUTZXL_normal.jpg,https://x.com/bagindamaulanaa/status/1950935162822578455,tweet_id:1950935162822578455
BeK_bek,@PetapaGenit800,2025-07-31T14:44:46.000Z,False,"Anggota DPR takut kena hukuman seperti Tom Lembong, makanya disetujui tuh ",0,0,0,521,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1233385466390401024/I_Pb3gXD_normal.jpg,https://x.com/PetapaGenit800/status/1950930644747403601,tweet_id:1950930644747403601
Mie Goreng,@MieGoreng218622,2025-07-31T15:16:34.000Z,False,Mbangkang sama raja solo kah? Atau??,0,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1906857504656793600/ToyZzlXp_normal.png,https://x.com/MieGoreng218622/status/1950938647781327206,tweet_id:1950938647781327206
Aji,@nurman307,2025-07-31T15:00:47.000Z,False,Seperti biasa eheheh,0,0,0,120,[],[],[],https://pbs.twimg.com/profile_images/1366992940996849664/tisOo2Kn_normal.jpg,https://x.com/nurman307/status/1950934672919163314,tweet_id:1950934672919163314
—————,@gonebythebreeze,2025-07-31T14:52:44.000Z,False,FUCKING KNEW IT,0,0,0,177,[],[],[],https://pbs.twimg.com/profile_images/1679938683598954496/3B2VLx5M_normal.jpg,https://x.com/gonebythebreeze/status/1950932647917572397,tweet_id:1950932647917572397
